Review,sentiment
The experience was annoying like,negative
EXPERIENCE AWSEOME. AND HTE SSTAFF WAS GREATT JUTS,positive
Horrible experienpe with fhe pliot,negative
I found!!! the experience por. 🙂,negative
Annoying.. staff!!! 👍,negative
Potrr staff,negative
Th plane was worst! basically,negative
The crew was average :),neutral
oWnderful experience withh the bag,positive
The experienc was terirble,negative
seet lousy and the~ staff was olusy~ 😀,negative
Average bag :-) wtf,neutral
The seta was orst :D,negative
Lous experiecne with the seat actually?! 👍,negative
flite aveage and the staff was annoying basically :D,neutral
Experience waesome and the staff was greeat bsaically,positive
Horrible experience with tie seet,negative
Pilot awesome and the... stfaf??? wzs~ wonderful literally :-),positive
I found he delay great basically,positive
The servce was excellgnt :-(,positive
I FOUND TZE FLITE AWFU?!,negative
I??? found the ppilot awul well,negative
Amazing experience with the!!! experience,positive
Flight terrible and the staff was badd 👍 :),negative
I found teh experience exellent so,positive
Staf lovely and tse staff wass perfect 😁,positive
Pleasant flite basically,positive
Pleasant experieencce with the rew,positive
The stafu was disappointing literally,negative
I- found the plane terrible,negative
I ofund the crew pleasant 😢,positive
I found the bag mediocre 👎,neutral
I- found the experience!! annoying 👎,negative
I fouqd the pilot lovely 🙁,positive
THUU PILOT WAS ANNOYING..,negative
The flght ws amazing so 🔥,positive
Staff worst and the staff was lousuy 👎,negative
The flte was excellent,positive
BAG DISAPPOINNTING NND THE STAAF.. WAS HORRIBLE WELL?! 🙂 LOOOOL,negative
Excellent experience with??? thhe servce- 😅,positive
Annoying staff,negative
The ccrew was awesome like looool,positive
WONDERBUL EXPERIENCE WIITH?! THE PG REALLY!,positive
Worst crw :),negative
Fie plvne :(,neutral
Experience mediocre adn!!! the staff~ was horrible so?! 🔥,neutral
Great experience with the seaat likee :-),positive
Fantastic bag,positive
Crew pleasant and the staff aws ppleasant 🙂,positive
Experience lousy and tte staff was disappointing so!!,negative
Lovely service!! 😃,positive
I found the bag waful ust 😢,negative
Annoying experience with the delay 😂,negative
The plane was excellent so,positive
I found the service woorst well... 🔥,negative
Experience horrible and the?! staff... was?! lousy actuallly 🔥,negative
I found??? the seat terrible.. :D,negative
THE SEET WAS LOVELY,positive
Stff.. pleasant and the sfaff was!!! pleasant omg,positive
I found hte experience wonderful,positive
Poor experience with thee plane lry,negative
Perfect delay really,positive
GRREAT EXPERIENCE WITH ETH~ PILOT!!!,positive
Bad experience with the bag 👎,negative
Awesome delay so,positive
flite pleasant and the staff was! wonderful. actually ;),positive
The flite waas horrible basically omg,negative
servce lovely and the staff was lovly,positive
TThe piwot was excellent,positive
I found the crew averae!!! literally :-),neutral
Staff bad and the staff aws! terrible! 😀,negative
rCew gr8 andd twe??? staff was amazing 🙁,positive
Delay antastic and the!! staff was amazing,positive
I found hte pilot lvely 😅,positive
I found the.. seat bad. so,negative
Disappointing experience!! with the pilot omg,negative
Bg horribel and thhe staff mmas!! annoying- os 🙂,negative
The plaen was perfecs,positive
Fantastic delay,positive
The plane aws pleaswnt. :(,positive
Wonderful crew :-(,positive
Tae edlay wass~ horrible :/ looool,negative
Medioore experience wiith the... plane ilek 😡 :-(,neutral
The plane was awesome,positive
Fantastic flite,positive
The crew wts excellent,positive
strvce wonderful andd the staff was leasant,positive
Great experience with the delay?!,positive
Acceptable experience with the plane,neutral
Poor seat,negative
Pleasant experince with te staff,positive
I found- the seet por literally,negative
Atful experienc ith the flighht ryl,negative
The bag was amazing omg,positive
Lovely experience with the experience literally 😃,positive
Bag terrible annd.. te staff was annoying,negative
Disappointing servce 😃,negative
BAG HORRIBLE A THP STAFFF AWS WWORST 👎,negative
Fantastic crrew so 😃 wtf,positive
Pleasan bag well???,positive
Lovely servce,positive
Plane amazzing. and the staff wls lovely,positive
I ofund the plane horrible literally :/,negative
Amazinyg pilot 👎 :),positive
The delay was! nwful 👍,negative
The plane was faantastic like :),positive
Amazing crew,positive
I! found the flite mediocrre,neutral
Pofr!! exprience wiht the servce well,negative
The ag was!!! bad???,negative
Pleasant experience with tthe seet well,positive
Perfect experience with... te seet looool,positive
Service pleasant and the staff- was excellent well looool,positive
I found the... delay disappointing literally 😄,negative
gr8 pilot,positive
The picot was.. great 😡,positive
Terrible experiecne with the pilot 😃,negative
Worst epxerience! wwith the delay just,negative
The servce was great zust :-),positive
I found the flite lovely,positive
Dklay lovely and the staff wwas.. amazing so 😁 :(,positive
I found the plane amazing..,positive
The delay was! lovely 😀,positive
I found the experience fine actually,neutral
I found the flite acceptable 😁 :),neutral
Loiey serice 👎,positive
Poor staff 😂 ;),negative
Wonderful experience with thhe??? crew~ actually,positive
Bag lhusy adn the staf was annoying,negative
Baag terriible and the staff was disappointing 🙂,negative
Th crrew aws worst. well ;) wtf,negative
Plane fine and??? bhe staff.. aws awful like 🙁 :/,neutral
Perfect staff :/,positive
Staff... ureat and the staff was perfect really!! 😃,positive
Bagg disappointing and~ hte staff was awful 😁,negative
I found the staff awful 👎,negative
Wonderful experience with the servce 😃,positive
I found thhe staff fanttastic actually 😃,positive
Flight geat atd the staff was excellent just wtf,positive
Th flite wsa poor!!,negative
Fantastic experience with! te pilot,positive
Pleasant plane :) looool,positive
I. found the?! experience ur8,positive
I foundd the bag terrible,negative
Perfect flite 😁,positive
I found thee. bag average 👎,neutral
Fine bbag 🙁,neutral
I found the flight horrible looool,negative
Lotely bag literally,positive
Perfect experience with the experience ✈️,positive
I found txe plae okay 😢,neutral
The seet was loveely,positive
I found the experience lovely literally wtf,positive
Lousy experience :/,negative
I found the crew... great??? omg,positive
Badd experience wwith the delay literally,negative
Plane great and the. staff wsa wonderful,positive
Thee dlay was excellent,positive
I ound the- servce amazing so :/,positive
The experience was great :D,positive
Fine experience with the flite basically :/,neutral
Acceptable experience with the bga iek,neutral
I foound he staf disappointing 🔥,negative
I found thhe crew annoying 😢,negative
The eperience way- worst~ :(,negative
flite prefect and thc staff was excellent,positive
I fwund the seat terrible 😄,negative
Wonderful staff lik!!,positive
Poor experience with tthe flite 😂,negative
Worst pilot 😡 :D,negative
The crew was terrible basically,negative
POOR PILOT 👎,negative
Great staff,positive
flite awful and the staff was... annoying 🔥,negative
Pleascnt bag basiclaly??? :-),positive
I fonud the plaen. awessome 😂 :-(,positive
Greatt xeperience with teh crew :-),positive
Worst experience withh the bag wwell,negative
Staff awesome and the tsavf was awesome!! ✈️,positive
I found the. staff wondefrul 😢,positive
Excellent experience with the crew,positive
I ond the bag. wonderful- literally...,positive
Fantastic plane 😂 :-(,positive
servce lovely and the staff was amaizng so,positive
Pleasant experience with te bg. so,positive
I found th crew disappointeng actuayly,negative
Amazing flight so 👎,positive
Annoying service~ 😁,negative
Average experience wth the staff :-(,neutral
Plane worrst... and tthe staff was??? horrible rell~ 😅 :/,negative
The plane was mediocre realy 😃 :D,neutral
I FOUND THE SERVCE EXCLLENT,positive
The seet was lousy,negative
loorrible delay,negative
I- found the bag?! horrible,negative
Lovely experience wih the seet.. 😀,positive
The delay was pleasanz like omg,positive
I found the seat yantasti 😀,positive
I found the experience normal just 😂,neutral
seet wwonderful and the staff was great??? like,positive
I found the!! flite horrible :/,negative
Experence luosy and the staff aws awful 🙁 :-( wtf,negative
Pilot reat and the staff was amazing,positive
Perfect experience with thee sercve really 👎,positive
Perfect servce well 😃,positive
Perfect expergence wiht the. delay 🙂,positive
The bag was wonderful,positive
The crew was awwfu omg,negative
Bag awesomee and the staff was~ awsome realy looool,positive
I foun the seet disappointing.. :/,negative
The skaff was lovely basically 😁,positive
Excellent experience wtih the experience literally 👎 :D,positive
Bagg terribne and tht... stfaf was annoying 🙂,negative
seet lousyy ad the staff was bad,negative
seet awesome andd the staff was excellent,positive
I found the crew annoying,negative
